sample1,,0,1 mg mL,,EM-260 0,1,,EM-260 0,01,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
800,0.1076506451,800,0.01664798148,800,0.001214531949,800,0.0003741875116,
799,0.1068535969,799,0.01678100973,799,0.001186497742,799,-0.0002207512007,
798,0.1072618291,798,0.01694252901,798,0.001021392061,798,0.0001457883482,
797,0.1071170717,797,0.01689954661,797,0.001003878191,797,-0.0001123305774,
796,0.1078387797,796,0.01666137576,796,0.0004589417658,796,0.0001892935688,
795,0.1078049988,795,0.0166294761,795,0.001681671944,795,0.0003185400856,
794,0.1074582487,794,0.01654508337,794,0.001648176811,794,0.0009072146495,
793,0.1067937762,793,0.0167161189,793,0.0006932874676,793,-0.0001531143935,
792,0.1070645005,792,0.01659432426,792,0.001130045392,792,0.0003101987822,
791,0.1067053676,791,0.01647320949,791,0.0006840056158,791,0.0004389371315,
790,0.1067600101,790,0.01624037884,790,0.0008603433962,790,0.0001167355222,
789,0.1057814583,789,0.01603834704,789,0.0003365185112,789,0.0003373475047,
788,0.1065105423,788,0.01646398753,788,0.001425106078,788,0.0001877915201,
787,0.1052085534,787,0.0152527364,787,0.0006058434374,787,6.088806549E-5,
786,0.1059853435,786,0.01658055373,786,0.0007123703836,786,0.0001714507234,
785,0.1054044142,785,0.01553858537,785,0.0008970721974,785,-0.0001294623216,
784,0.1055998281,784,0.01677156612,784,0.0007454563747,784,0.000185124125,
783,0.1056677997,783,0.01664445736,783,0.001315833651,783,0.0004970619339,
782,0.1053913757,782,0.01631181128,782,0.0007594850031,782,0.0001645364973,
781,0.1049571112,781,0.01660139672,781,0.001364961267,781,0.0006484873593,
780,0.1043367684,780,0.01611777768,780,0.0004175083304,780,-0.0001818884921,
779,0.1050293371,779,0.01702374034,779,0.0007129667792,779,0.0001939809881,
778,0.1045145467,778,0.01643105224,778,0.0003925309575,778,1.667088327E-5,
777,0.1046454608,777,0.01694032177,777,0.0007300539874,777,0.0002229353995,
776,0.1041491553,776,0.01654457301,776,0.000583654677,776,0.0002548962657,
775,0.1040233895,775,0.01653099246,775,0.0008108838229,775,0.0005576828262,
774,0.1044135988,774,0.01675674133,774,0.0009108981467,774,0.0004027393879,
773,0.1044536978,773,0.01681235619,773,0.001355015906,773,0.0006898909924,
772,0.1044665053,772,0.01679427549,772,0.0008383750683,772,0.0008164338069,
771,0.1036102697,771,0.01664311253,771,0.001071939594,771,0.0003418033593,
770,0.1035198495,770,0.01674156822,770,0.0008538332186,770,8.276532753E-5,
769,0.1028309613,769,0.0170398131,769,0.0009747160366,769,0.0007854170399,
768,0.1030829847,768,0.01701445319,768,0.0009439214482,768,0.000449561252,
767,0.1021163389,767,0.01673395373,767,0.0003740320681,767,0.0003067534999,
766,0.1026711464,766,0.01703599095,766,0.001013997244,766,0.0003519587626,
765,0.1021827608,765,0.01681372896,765,0.001021418022,765,0.000656472228,
764,0.1018212885,764,0.0168100968,764,0.0006795721129,764,0.0001438462641,
763,0.1016190276,763,0.0165562965,763,0.0005898497766,763,0.0006446245825,
762,0.1021529213,762,0.01710093021,762,0.0007061476354,762,0.0004350762465,
761,0.1019610167,761,0.0170279406,761,0.0006946875365,761,0.0003768819734,
760,0.1019208133,760,0.01667990908,760,0.000558175263,760,0.0007583958795,
759,0.1014262065,759,0.01732708327,759,0.0008027145523,759,-7.661570999E-5,
758,0.1012288705,758,0.01725397445,758,0.0008932590717,758,0.000676486874,
757,0.101354219,757,0.01726138219,757,0.000935568125,757,0.0005001199897,
756,0.1013180315,756,0.01738972217,756,0.000912298914,756,0.0003395495296,
755,0.1010032967,755,0.01675491221,755,0.0004494057503,755,-0.0001361906034,
754,0.1012024954,754,0.01691367477,754,0.001087406068,754,0.0003997338354,
753,0.1005945727,753,0.01733880118,753,0.0005356260808,753,0.0006146051455,
752,0.1013515368,752,0.01736339927,752,0.001277537667,752,0.0004919306957,
751,0.1013583019,751,0.01753680408,751,0.0009934740374,751,0.0006723127444,
750,0.1007343009,750,0.01762244105,750,0.001069422462,750,0.0004554434854,
749,0.10101372,749,0.01738293283,749,0.001074456726,749,0.0005131299258,
748,0.1006909832,748,0.01734308526,748,0.00110323634,748,0.0004162386758,
747,0.1008630618,747,0.01724328101,747,0.001188678085,747,0.0003814419033,
746,0.1002573445,746,0.01739255153,746,0.000802999828,746,0.000304266694,
745,0.1004373431,745,0.01731827296,745,0.0006101983599,745,0.0003507411457,
744,0.09976644814,744,0.01742986962,744,0.000784872449,744,0.0005180282169,
743,0.1008968577,743,0.01756214164,743,0.001078842324,743,0.0004253075458,
742,0.1003603265,742,0.01730652899,742,0.0005202570464,742,0.0001846579835,
741,0.1004678458,741,0.01746331155,741,0.0006486688508,741,0.0003903286706,
740,0.1003298387,740,0.01737910695,740,0.0006627461407,740,0.0002859269734,
739,0.1002763212,739,0.01720263995,739,0.00116775732,739,0.0004927340779,
738,0.1004136577,738,0.0170828905,738,0.0007816049038,738,0.000311804848,
